,Row,DynRange,DynIQR,DynStDev,TempRange,TempIQR,TempStDev,DynPolyCoeff1,DynPolyCoeff2,DynPolyCoeff3,TempPolyCoeff1,TempPolyCoeff2,TempPolyCoeff3
133,Grumiaux Gavotte bar2: 27,18.880931385008296,4.571620466950322,6.303455780233961,18.738756899913668,6.146503657188912,11.092712246288187,-0.0021177755684362435,0.10864974604907368,-20.54273205317554,-0.14643888052183132,0.7364003358852382,80.4687290802183
134,Grumiaux Gavotte bar2: 28,28.797283275132827,6.091522162352266,5.2754030979113935,17.811598428578378,4.718743201850082,4.041304578105041,0.0028150326799942123,-0.35970741264780765,-18.105304228729494,0.35944991090207,-2.8812502147978165,74.14072971539514
135,Grumiaux Gavotte bar2: 29,14.32183085952363,2.9929018220453387,3.935996193816848,15.401108392108924,3.7950191298018954,3.5189879785554723,0.002669937113668654,-0.13546609335518034,-21.37262999678286,-0.051104537381870346,1.1671714908414406,76.50537709158355
136,Grumiaux Gavotte bar2: 30,13.637511936486305,3.448299072393473,4.674749317088654,25.852676900817848,6.1612289302307826,6.786824090945075,0.0017626000956999142,-0.035604404721969254,-16.896049457288314,-0.10663278730541209,1.3254203157916533,79.75263811265089
137,Grumiaux Gavotte bar2: 31,14.295919907791472,3.169516857170264,4.3866995041567804,28.412600903750523,7.344696767492628,9.020202246671687,0.00034791690150241957,-0.13203064342435095,-14.819798532639732,-0.08292826670552589,1.993650281784092,69.99951454680384
138,Grumiaux Gavotte bar2: 32,13.897042490411195,3.0543521135760066,4.490416609610747,18.232076358856048,5.058452884098215,6.916873452608826,-0.001143383875983896,0.12519709923733813,-23.187958578083855,-0.10842414942025107,1.9044324282708542,76.04535709741484
139,Grumiaux Gavotte bar2: 33,9.747089897191358,2.5415669112690504,4.105206434170768,14.927023440953718,4.319742257634247,4.554177989720657,0.003500204568005484,-0.2537157564426555,-19.473662238687716,-0.10440660480618942,2.045139966447402,72.16445329200748
140,Grumiaux Gavotte bar2: 34,11.959035256741686,3.1964635605495872,5.4098562340062415,14.99522617319488,4.099733468605659,4.398703083853121,-0.006343422608482226,0.46846613888537975,-22.369177692654997,-0.07194308914441438,0.8084648758797659,82.65817375949639
141,Grumiaux Gavotte bar2: 35,14.211595632523085,3.8959992911639354,7.047966542536358,19.978532147185334,6.039942462820382,9.664933564188345,0.006486007072953771,-0.4794265077527708,-16.0726461214126,-0.06143964948592824,1.1596563230570944,77.66305402764779
142,Grumiaux Gavotte bar2: 36,19.628143700141095,4.06129614414894,4.756790007058214,32.585375114277795,10.539942377803543,14.508863197049706,-0.0006075308941257896,0.03998121445027777,-16.53098319803764,1.168116775531298,-14.5917344569051,106.02886537409552
